Y,X,CODE
9.36138277108,77.25431669950,PR10
9.33688888889,77.25719444440,PR11
9.31236111111,77.25058333330,PR12
9.29858333333,77.25527777780,PR13
9.56944444444,77.26805555560,PR14
9.55916666667,77.26444444440,PR15
9.53269444444,77.27691666670,PR16
9.51336111111,77.26472222220,PR17
9.49994444444,77.27586111110,PR18
9.48138888889,77.26333333330,PR19
9.45750000000,77.26722222220,PR20
9.44083333333,77.26361111110,PR21
9.43245527710,77.27692597780,PR22
9.40959171540,77.26233440550,PR23
9.39796796628,77.26215212730,PR24
9.36916666667,77.26472222220,PR25
9.35750000000,77.27333333330,PR26
9.33802777778,77.26450000000,PR27
9.32066666667,77.27405555560,PR28
9.29597222222,77.27530555560,PR29
9.27883333333,77.27797222220,PR30
9.56777777778,77.28194444440,PR31
